1,17,21
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,20,20,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,21,0,21,0,21,0,21,0,21,0,21,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,23,0,23,0,23,0,23,0,23,0,23,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,1
1,0,0,0,0,0,10,0,0,25,9,9,9,9,9,9,1
1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,1
1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
